time,command,vx,vy,vz,yawRate,x,y,z,roll,pitch,yaw,lat,lon,alt
1770645165.3302786,takeoff,0.0,0.0,0.0,0.0,0.0,0.0,-9.934345245361328,0.0,0.0,0.0,47.641467999997424,-122.140165,131.8564910888672
1770645165.3876872,idle,0.0,0.0,0.0,0.0,0.0,0.0,-9.92160415649414,0.0,0.0,0.0,47.641467999997424,-122.140165,131.8893280029297
1770645165.4511607,idle,0.0,0.0,0.0,0.0,0.0,0.0,-9.91789436340332,0.0,0.0,0.0,47.641467999997424,-122.140165,131.92236328125
1770645165.5142376,idle,0.0,0.0,0.0,0.0,0.0,0.0,-9.881425857543945,0.0,0.0,0.0,47.641467999997424,-122.140165,131.93603515625
1770645165.5763023,idle,0.0,0.0,0.0,0.0,0.0,0.0,-9.859699249267578,0.0,0.0,0.0,47.641467999997424,-122.140165,131.9305419921875
1770645165.63876,idle,0.0,0.0,0.0,0.0,0.0,0.0,-9.840181350708008,0.0,0.0,0.0,47.641467999997424,-122.140165,131.91213989257812
1770645165.7000046,idle,0.0,0.0,0.0,0.0,0.0,0.0,-9.82106876373291,0.0,0.0,0.0,47.641467999997424,-122.140165,131.8907012939453
1770645165.7626388,idle,0.0,0.0,0.0,0.0,0.0,0.0,-9.807198524475098,0.0,0.0,0.0,47.641467999997424,-122.140165,131.86952209472656
1770645165.824779,idle,0.0,0.0,0.0,0.0,0.0,0.0,-9.7903470993042,0.0,0.0,0.0,47.641467999997424,-122.140165,131.8494110107422
1770645165.8872473,idle,0.0,0.0,0.0,0.0,0.0,0.0,-9.775345802307129,0.0,0.0,0.0,47.641467999997424,-122.140165,131.83055114746094
1770645165.9510639,idle,0.0,0.0,0.0,0.0,0.0,0.0,-9.760690689086914,0.0,0.0,0.0,47.64146799999743,-122.140165,131.8129119873047
1770645166.0138042,idle,0.0,0.0,0.0,0.0,0.0,0.0,-9.747044563293457,0.0,0.0,0.0,47.641467999997424,-122.140165,131.7964324951172
1770645166.076378,idle,0.0,0.0,0.0,0.0,0.0,0.0,-9.734341621398926,0.0,0.0,0.0,47.641467999997424,-122.140165,131.78103637695312
1770645166.1402767,idle,0.0,0.0,0.0,0.0,0.0,0.0,-9.723029136657715,0.0,0.0,0.0,47.641467999997424,-122.140165,131.7666473388672
1770645166.2028542,idle,0.0,0.0,0.0,0.0,0.0,0.0,-9.712949752807617,0.0,0.0,0.0,47.641467999997424,-122.140165,131.7532196044922
1770645166.2663019,idle,0.0,0.0,0.0,0.0,0.0,0.0,-9.704879760742188,0.0,0.0,0.0,47.641467999997424,-122.140165,131.7406768798828
1770645166.3275642,idle,0.0,0.0,0.0,0.0,0.0,0.0,-9.69336223602295,0.0,0.0,0.0,47.641467999997424,-122.140165,131.72894287109375
1770645166.3905494,idle,0.0,0.0,0.0,0.0,0.0,0.0,-9.68553638458252,0.0,0.0,0.0,47.641467999997424,-122.140165,131.71800231933594
1770645166.45317,idle,0.0,0.0,0.0,0.0,0.0,0.0,-9.677801132202148,0.0,0.0,0.0,47.641467999997424,-122.140165,131.707763671875
1770645166.5167267,idle,0.0,0.0,0.0,0.0,0.0,0.0,-9.669498443603516,0.0,0.0,0.0,47.641467999997424,-122.140165,131.69821166992188
1770645166.5784094,idle,0.0,0.0,0.0,0.0,0.0,0.0,-9.663087844848633,0.0,0.0,0.0,47.641467999997424,-122.140165,131.68927001953125
1770645166.639753,forward,50,0.0,0.0,0.0,0.0,0.0,-9.656750679016113,0.0,0.0,0.0,47.641467999997424,-122.140165,131.68092346191406
