VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
Drone1	1770396934766	-264.993	-97.0125	-28.5035	-0.22101	-0.274154	0.0649084	-0.933692	img_Drone1__0_1770396935307428700.png
Drone1	1770396934820	-265.903	-96.5559	-28.3537	-0.221001	-0.274161	0.0648788	-0.933694	img_Drone1__0_1770396935361206400.png
Drone1	1770396934874	-266.821	-96.0957	-28.1986	-0.220994	-0.274166	0.0648561	-0.933696	img_Drone1__0_1770396935413998800.png
Drone1	1770396934922	-267.642	-95.6835	-28.0565	-0.221002	-0.27416	0.0648816	-0.933694	img_Drone1__0_1770396935462533200.png
Drone1	1770396934973	-268.522	-95.2425	-27.901	-0.221011	-0.274152	0.0649145	-0.933692	img_Drone1__0_1770396935513255500.png
Drone1	1770396935021	-269.355	-94.8246	-27.7506	-0.221005	-0.274158	0.0648908	-0.933694	img_Drone1__0_1770396935562131200.png
Drone1	1770396935078	-270.352	-94.3247	-27.5668	-0.220997	-0.274164	0.0648668	-0.933695	img_Drone1__0_1770396935617678700.png
Drone1	1770396935132	-271.303	-93.8476	-27.3876	-0.220994	-0.274167	0.0648552	-0.933696	img_Drone1__0_1770396935674017000.png
Drone1	1770396935177	-272.101	-93.4474	-27.2346	-0.221008	-0.274155	0.0649034	-0.933693	img_Drone1__0_1770396935718228200.png
Drone1	1770396935231	-273.064	-92.9641	-27.0466	-0.221012	-0.274152	0.0649165	-0.933692	img_Drone1__0_1770396935770593000.png
Drone1	1770396935282	-273.981	-92.5047	-26.8647	-0.221003	-0.274159	0.0648865	-0.933694	img_Drone1__0_1770396935821273100.png
Drone1	1770396935333	-274.903	-92.0422	-26.6786	-0.220994	-0.274167	0.0648547	-0.933696	img_Drone1__0_1770396935873060500.png
Drone1	1770396935384	-275.83	-91.5769	-26.4883	-0.221	-0.274162	0.0648747	-0.933695	img_Drone1__0_1770396935925422400.png
Drone1	1770396935435	-276.764	-91.1088	-26.294	-0.221011	-0.274153	0.0649137	-0.933692	img_Drone1__0_1770396935975181500.png
Drone1	1770396935486	-277.703	-90.6378	-26.0957	-0.221009	-0.274154	0.0649069	-0.933692	img_Drone1__0_1770396936027495700.png
Drone1	1770396935540	-278.703	-90.1361	-25.8813	-0.220999	-0.274163	0.064873	-0.933695	img_Drone1__0_1770396936081131000.png
Drone1	1770396935588	-279.597	-89.6876	-25.6871	-0.220995	-0.274166	0.0648581	-0.933696	img_Drone1__0_1770396936129529800.png
Drone1	1770396935636	-280.496	-89.2368	-25.489	-0.22132	-0.269671	0.0638513	-0.934996	img_Drone1__0_1770396936175695800.png
Drone1	1770396935684	-281.393	-88.7868	-25.2765	-0.225067	-0.206943	0.0489826	-0.950852	img_Drone1__0_1770396936226210200.png
Drone1	1770396935744	-282.509	-88.227	-24.9891	-0.228067	-0.136126	0.0322023	-0.963545	img_Drone1__0_1770396936283993900.png
Drone1	1770396935789	-283.344	-87.8086	-24.7633	-0.22951	-0.0820152	0.0193844	-0.969651	img_Drone1__0_1770396936328854600.png
Drone1	1770396935843	-284.343	-87.3076	-24.503	-0.230295	-0.0164592	0.00386159	-0.972974	img_Drone1__0_1770396936385107900.png
Drone1	1770396935891	-285.226	-86.8645	-24.2928	-0.230112	0.0419229	-0.00995944	-0.97221	img_Drone1__0_1770396936432978200.png
Drone1	1770396935942	-286.155	-86.3986	-24.0969	-0.229011	0.103754	-0.0245948	-0.967566	img_Drone1__0_1770396936482661600.png
Drone1	1770396935993	-287.067	-85.9411	-23.9346	-0.227394	0.154693	-0.0366509	-0.960739	img_Drone1__0_1770396936533600400.png
Drone1	1770396936044	-287.956	-85.4952	-23.8096	-0.225889	0.189979	-0.0450011	-0.954388	img_Drone1__0_1770396936583745900.png
Drone1	1770396936092	-288.768	-85.0885	-23.727	-0.224709	0.213487	-0.0505638	-0.949406	img_Drone1__0_1770396936633526600.png
Drone1	1770396936146	-289.648	-84.6471	-23.6731	-0.223669	0.23216	-0.0549818	-0.945014	img_Drone1__0_1770396936688080800.png
Drone1	1770396936203	-290.538	-84.2006	-23.6576	-0.222859	0.245649	-0.0581729	-0.941598	img_Drone1__0_1770396936745288700.png
Drone1	1770396936248	-291.213	-83.8622	-23.6724	-0.222388	0.253151	-0.0599472	-0.939609	img_Drone1__0_1770396936789592400.png
Drone1	1770396936299	-291.948	-83.4934	-23.7152	-0.221991	0.25929	-0.0613988	-0.937933	img_Drone1__0_1770396936842956100.png
Drone1	1770396936353	-292.694	-83.1195	-23.7875	-0.22169	0.263842	-0.062475	-0.936663	img_Drone1__0_1770396936895283900.png
Drone1	1770396936398	-293.29	-82.8205	-23.8666	-0.221509	0.26655	-0.0631148	-0.935896	img_Drone1__0_1770396936940931500.png
Drone1	1770396936452	-293.976	-82.4762	-23.982	-0.221351	0.268876	-0.0636644	-0.935231	img_Drone1__0_1770396936994413600.png
Drone1	1770396936506	-294.632	-82.1474	-24.1174	-0.22124	0.270491	-0.0640454	-0.934765	img_Drone1__0_1770396937049945700.png
Drone1	1770396936560	-295.258	-81.8334	-24.2709	-0.221163	0.271611	-0.0643095	-0.93444	img_Drone1__0_1770396937102730700.png
Drone1	1770396936608	-295.791	-81.5663	-24.4212	-0.221114	0.272315	-0.0644754	-0.934235	img_Drone1__0_1770396937152665400.png
Drone1	1770396936656	-296.303	-81.3094	-24.5809	-0.210883	0.280797	-0.0301309	-0.935828	img_Drone1__0_1770396937200532300.png
Drone1	1770396936704	-296.795	-81.0596	-24.7471	-0.193704	0.293267	0.0257785	-0.935847	img_Drone1__0_1770396937247531700.png
Drone1	1770396936758	-297.321	-80.7827	-24.9438	-0.176304	0.30434	0.0801484	-0.932668	img_Drone1__0_1770396937299957900.png
Drone1	1770396936809	-297.79	-80.5204	-25.1381	-0.164623	0.311015	0.115483	-0.928888	img_Drone1__0_1770396937353225900.png
Drone1	1770396936863	-298.256	-80.2385	-25.3518	-0.155856	0.315653	0.141432	-0.92524	img_Drone1__0_1770396937405166100.png
