VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
Drone1	1770224985888	135.118	193.949	-7.73394	0.88053	0	0	-0.473989	img_Drone1__0_1770224986816410400.png
Drone1	1770224985954	135.118	193.949	-7.86664	0.88053	0	0	-0.473989	img_Drone1__0_1770224986883893200.png
Drone1	1770224986008	135.118	193.949	-7.97517	0.88053	0	0	-0.473989	img_Drone1__0_1770224986937485600.png
Drone1	1770224986065	135.118	193.949	-8.08969	0.88053	0	0	-0.473989	img_Drone1__0_1770224986996729500.png
Drone1	1770224986122	135.118	193.949	-8.20415	0.88053	0	0	-0.473989	img_Drone1__0_1770224987052193300.png
Drone1	1770224986173	135.118	193.949	-8.30654	0.88053	0	0	-0.473989	img_Drone1__0_1770224987105203900.png
Drone1	1770224986227	135.118	193.949	-8.41491	0.88053	0	0	-0.473989	img_Drone1__0_1770224987158713300.png
Drone1	1770224986278	135.118	193.949	-8.51723	0.88053	0	0	-0.473989	img_Drone1__0_1770224987210163500.png
Drone1	1770224986332	135.118	193.949	-8.62554	0.88053	0	0	-0.473989	img_Drone1__0_1770224987264567700.png
Drone1	1770224986395	135.118	193.949	-8.75187	0.88053	0	0	-0.473989	img_Drone1__0_1770224987329389900.png
Drone1	1770224986458	135.118	193.949	-8.87815	0.88053	0	0	-0.473989	img_Drone1__0_1770224987392181300.png
Drone1	1770224986515	135.118	193.949	-8.99238	0.88053	0	0	-0.473989	img_Drone1__0_1770224987448018300.png
Drone1	1770224986575	135.118	193.949	-9.11259	0.88053	0	0	-0.473989	img_Drone1__0_1770224987507966700.png
Drone1	1770224986629	135.118	193.949	-9.22076	0.88053	0	0	-0.473989	img_Drone1__0_1770224987563464300.png
Drone1	1770224986689	135.118	193.949	-9.34091	0.88053	0	0	-0.473989	img_Drone1__0_1770224987623713200.png
Drone1	1770224986749	135.118	193.949	-9.46105	0.88053	0	0	-0.473989	img_Drone1__0_1770224987683277300.png
Drone1	1770224986812	135.118	193.949	-9.58544	0.88053	0	0	-0.473989	img_Drone1__0_1770224987746105700.png
Drone1	1770224986872	135.118	193.949	-9.69271	0.88053	0	0	-0.473989	img_Drone1__0_1770224987809770900.png
Drone1	1770224986929	135.118	193.949	-9.76829	0.88053	0	0	-0.473989	img_Drone1__0_1770224987864444100.png
Drone1	1770224986980	135.118	193.949	-9.82608	0.88053	0	0	-0.473989	img_Drone1__0_1770224987916571200.png
Drone1	1770224987037	135.118	193.949	-9.87532	0.88053	0	0	-0.473989	img_Drone1__0_1770224987971850800.png
Drone1	1770224987091	135.118	193.949	-9.90719	0.88053	0	0	-0.473989	img_Drone1__0_1770224988027758900.png
Drone1	1770224987148	135.118	193.949	-9.92539	0.88053	0	0	-0.473989	img_Drone1__0_1770224988083945600.png
Drone1	1770224987202	135.118	193.949	-9.92806	0.88053	0	0	-0.473989	img_Drone1__0_1770224988138615400.png
Drone1	1770224987256	135.118	193.949	-9.91814	0.88027	-0.011537	-0.0214321	-0.473849	img_Drone1__0_1770224988193356800.png
Drone1	1770224987313	135.119	193.947	-9.91442	0.876193	-0.0469916	-0.0872962	-0.471654	img_Drone1__0_1770224988250351100.png
Drone1	1770224987367	135.126	193.938	-9.92716	0.869607	-0.0744295	-0.138268	-0.468109	img_Drone1__0_1770224988304532400.png
Drone1	1770224987427	135.142	193.914	-9.95924	0.862906	-0.0943607	-0.175294	-0.464502	img_Drone1__0_1770224988364068800.png
Drone1	1770224987487	135.17	193.871	-10.0092	0.857577	-0.107519	-0.199738	-0.461634	img_Drone1__0_1770224988417261100.png
Drone1	1770224987541	135.207	193.815	-10.0681	0.853852	-0.116452	-0.214108	-0.459928	img_Drone1__0_1770224988477073800.png
Drone1	1770224987601	135.259	193.733	-10.1412	0.839833	-0.185529	-0.190803	-0.473131	img_Drone1__0_1770224988538306100.png
Drone1	1770224987652	135.31	193.644	-10.2108	0.825419	-0.239838	-0.16812	-0.482594	img_Drone1__0_1770224988590073100.png
Drone1	1770224987700	135.36	193.541	-10.2824	0.814166	-0.275189	-0.152943	-0.487866	img_Drone1__0_1770224988638178800.png
Drone1	1770224987757	135.419	193.391	-10.3746	0.803632	-0.304601	-0.140022	-0.491719	img_Drone1__0_1770224988693329500.png
Drone1	1770224987808	135.468	193.232	-10.4622	0.796634	-0.322614	-0.132039	-0.493821	img_Drone1__0_1770224988744383100.png
Drone1	1770224987853	135.509	193.07	-10.5426	0.791994	-0.333991	-0.126993	-0.495044	img_Drone1__0_1770224988792002900.png
Drone1	1770224987907	135.552	192.851	-10.6417	0.787907	-0.343672	-0.122727	-0.496014	img_Drone1__0_1770224988843653900.png
Drone1	1770224987958	135.587	192.62	-10.737	0.785159	-0.350014	-0.119965	-0.496613	img_Drone1__0_1770224988896557200.png
Drone1	1770224988012	135.618	192.348	-10.8386	0.783099	-0.354679	-0.117963	-0.497034	img_Drone1__0_1770224988950672800.png
Drone1	1770224988063	135.642	192.068	-10.9342	0.781729	-0.35774	-0.116673	-0.497302	img_Drone1__0_1770224988999558100.png
Drone1	1770224988111	135.658	191.783	-11.0231	0.780806	-0.359782	-0.115828	-0.497477	img_Drone1__0_1770224989049708900.png
Drone1	1770224988171	135.672	191.4	-11.1317	0.780002	-0.361543	-0.115116	-0.497626	img_Drone1__0_1770224989102134700.png
Drone1	1770224988219	135.677	191.072	-11.2155	0.780452	-0.36058	-0.115964	-0.497423	img_Drone1__0_1770224989156257600.png
Drone1	1770224988270	135.678	190.709	-11.2967	0.802608	-0.308118	-0.148827	-0.488605	img_Drone1__0_1770224989207637100.png
Drone1	1770224988318	135.678	190.351	-11.369	0.819407	-0.260133	-0.177572	-0.478927	img_Drone1__0_1770224989255233800.png
Drone1	1770224988366	135.678	189.977	-11.4404	0.833409	-0.210958	-0.205817	-0.467509	img_Drone1__0_1770224989304489000.png
Drone1	1770224988414	135.683	189.588	-11.5126	0.844532	-0.160677	-0.233502	-0.45434	img_Drone1__0_1770224989352545200.png
Drone1	1770224988468	135.696	189.134	-11.5964	0.853435	-0.103332	-0.263671	-0.43755	img_Drone1__0_1770224989404917100.png
Drone1	1770224988522	135.724	188.665	-11.6841	0.858449	-0.0455311	-0.292616	-0.41877	img_Drone1__0_1770224989458093100.png
Drone1	1770224988579	135.772	188.157	-11.7809	0.85963	0.00530285	-0.316886	-0.40074	img_Drone1__0_1770224989517286700.png
Drone1	1770224988633	135.841	187.666	-11.8762	0.858785	0.0383026	-0.332053	-0.388282	img_Drone1__0_1770224989570409200.png
Drone1	1770224988690	135.939	187.14	-11.9802	0.857376	0.0622399	-0.342765	-0.378873	img_Drone1__0_1770224989629658000.png
Drone1	1770224988744	136.059	186.637	-12.0815	0.856095	0.0778503	-0.349619	-0.372568	img_Drone1__0_1770224989682487800.png
Drone1	1770224988801	136.215	186.101	-12.1904	0.854982	0.0892136	-0.354543	-0.367894	img_Drone1__0_1770224989739648100.png
Drone1	1770224988861	136.412	185.533	-12.3063	0.854095	0.0973059	-0.358016	-0.364523	img_Drone1__0_1770224989792488800.png
Drone1	1770224988912	136.605	185.047	-12.405	0.85354	0.102044	-0.360037	-0.362532	img_Drone1__0_1770224989848941400.png
Drone1	1770224988969	136.848	184.503	-12.5146	0.853088	0.10574	-0.361607	-0.36097	img_Drone1__0_1770224989907158900.png
Drone1	1770224989023	137.105	183.985	-12.6168	0.852784	0.108156	-0.362631	-0.359946	img_Drone1__0_1770224989960379000.png
Drone1	1770224989083	137.419	183.407	-12.7276	0.852548	0.109994	-0.363408	-0.359164	img_Drone1__0_1770224990020264700.png
Drone1	1770224989137	137.727	182.886	-12.8239	0.8524	0.111123	-0.363884	-0.358683	img_Drone1__0_1770224990075522900.png
Drone1	1770224989197	138.097	182.306	-12.9261	0.852287	0.111981	-0.364247	-0.358317	img_Drone1__0_1770224990135661900.png
Drone1	1770224989251	138.454	181.783	-13.0131	0.852217	0.112509	-0.36447	-0.358092	img_Drone1__0_1770224990188297800.png
Drone1	1770224989305	138.831	181.259	-13.0944	0.852168	0.112877	-0.364625	-0.357935	img_Drone1__0_1770224990243209600.png
Drone1	1770224989356	139.207	180.763	-13.1655	0.852135	0.113122	-0.364728	-0.357831	img_Drone1__0_1770224990295673000.png
Drone1	1770224989407	139.601	180.267	-13.2306	0.852112	0.113296	-0.364802	-0.357756	img_Drone1__0_1770224990346524200.png
Drone1	1770224989464	140.062	179.712	-13.2956	0.852093	0.113432	-0.364859	-0.357698	img_Drone1__0_1770224990402022600.png
Drone1	1770224989521	140.544	179.156	-13.3517	0.852081	0.113525	-0.364898	-0.357658	img_Drone1__0_1770224990460030100.png
Drone1	1770224989572	140.992	178.659	-13.3941	0.852073	0.113582	-0.364923	-0.357634	img_Drone1__0_1770224990511656600.png
Drone1	1770224989626	141.484	178.132	-13.4304	0.852067	0.113626	-0.364941	-0.357615	img_Drone1__0_1770224990564592000.png
Drone1	1770224989674	141.936	177.664	-13.455	0.852064	0.113653	-0.364953	-0.357603	img_Drone1__0_1770224990614853700.png
Drone1	1770224989725	142.43	177.167	-13.4729	0.852061	0.113674	-0.364962	-0.357594	img_Drone1__0_1770224990665460900.png
Drone1	1770224989779	142.969	176.64	-13.4823	0.852059	0.113689	-0.364968	-0.357588	img_Drone1__0_1770224990718052700.png
Drone1	1770224989827	143.461	176.172	-13.4823	0.852057	0.113699	-0.364972	-0.357584	img_Drone1__0_1770224990768021600.png
Drone1	1770224989905	144.288	175.411	-13.4649	0.852056	0.11371	-0.364977	-0.357579	img_Drone1__0_1770224990819796000.png
Drone1	1770224989962	144.912	174.856	-13.438	0.852413	0.110999	-0.363838	-0.358739	img_Drone1__0_1770224990901869300.png
Drone1	1770224990016	145.506	174.332	-13.389	0.858206	0.0491099	-0.336963	-0.384093	img_Drone1__0_1770224990955177700.png
Drone1	1770224990067	146.034	173.838	-13.32	0.859583	-0.00678011	-0.311283	-0.405185	img_Drone1__0_1770224991005392700.png
Drone1	1770224990118	146.638	173.34	-13.245	0.857416	-0.0613731	-0.284914	-0.424141	img_Drone1__0_1770224991057298100.png
Drone1	1770224990169	147.219	172.836	-13.1667	0.851784	-0.115725	-0.257391	-0.441386	img_Drone1__0_1770224991108142400.png
Drone1	1770224990217	147.773	172.352	-13.0917	0.843324	-0.166533	-0.230492	-0.45601	img_Drone1__0_1770224991158474300.png
Drone1	1770224990265	148.331	171.859	-13.0166	0.831823	-0.216794	-0.202738	-0.469008	img_Drone1__0_1770224991205557300.png
Drone1	1770224990316	148.927	171.32	-12.9371	0.819067	-0.260879	-0.177419	-0.47916	img_Drone1__0_1770224991257714400.png
Drone1	1770224990367	149.521	170.766	-12.8583	0.808657	-0.291552	-0.15924	-0.485504	img_Drone1__0_1770224991307626500.png
Drone1	1770224990415	150.078	170.228	-12.7848	0.801008	-0.311954	-0.146884	-0.489384	img_Drone1__0_1770224991355017900.png
Drone1	1770224990463	150.632	169.673	-12.7121	0.795143	-0.326614	-0.137871	-0.491999	img_Drone1__0_1770224991404015700.png
Drone1	1770224990526	151.35	168.92	-12.6172	0.78957	-0.339865	-0.129624	-0.494236	img_Drone1__0_1770224991467459900.png
Drone1	1770224990580	151.959	168.251	-12.5357	0.786242	-0.347495	-0.124832	-0.495467	img_Drone1__0_1770224991521449200.png
Drone1	1770224990628	152.493	167.639	-12.4626	0.7841	-0.352301	-0.121797	-0.496222	img_Drone1__0_1770224991570162200.png
Drone1	1770224990679	153.053	166.971	-12.3837	0.782444	-0.355965	-0.119475	-0.496787	img_Drone1__0_1770224991621015800.png
Drone1	1770224990730	153.607	166.285	-12.3028	0.781254	-0.358568	-0.11782	-0.497182	img_Drone1__0_1770224991670257400.png
Drone1	1770224990784	154.184	165.539	-12.2146	0.78036	-0.36051	-0.116583	-0.497473	img_Drone1__0_1770224991723658400.png
Drone1	1770224990835	154.722	164.818	-12.1281	0.779763	-0.3618	-0.11576	-0.497665	img_Drone1__0_1770224991775792000.png
Drone1	1770224990883	155.222	164.125	-12.0434	0.779357	-0.362672	-0.115203	-0.497795	img_Drone1__0_1770224991822298300.png
Drone1	1770224990940	155.807	163.284	-11.9381	0.779017	-0.363403	-0.114736	-0.497902	img_Drone1__0_1770224991879476900.png
Drone1	1770224990991	156.322	162.516	-11.839	0.778804	-0.363858	-0.114445	-0.497969	img_Drone1__0_1770224991930258600.png
Drone1	1770224991039	156.801	161.78	-11.7412	0.77866	-0.364166	-0.114248	-0.498015	img_Drone1__0_1770224991979828600.png
Drone1	1770224991087	157.273	161.031	-11.6385	0.778556	-0.36439	-0.114105	-0.498047	img_Drone1__0_1770224992027813900.png
Drone1	1770224991141	157.798	160.175	-11.5167	0.778472	-0.364569	-0.11399	-0.498074	img_Drone1__0_1770224992083128700.png
Drone1	1770224991195	158.314	159.305	-11.3881	0.778413	-0.364695	-0.11391	-0.498092	img_Drone1__0_1770224992134681800.png
Drone1	1770224991243	158.767	158.519	-11.2675	0.778376	-0.364774	-0.11386	-0.498104	img_Drone1__0_1770224992183167500.png
Drone1	1770224991294	159.242	157.677	-11.1291	0.793999	-0.329386	-0.136153	-0.492477	img_Drone1__0_1770224992235994200.png
Drone1	1770224991348	159.743	156.79	-10.9559	0.813744	-0.277038	-0.167901	-0.482577	img_Drone1__0_1770224992287994200.png
Drone1	1770224991396	160.186	155.997	-10.7917	0.828796	-0.228093	-0.196337	-0.471723	img_Drone1__0_1770224992337096000.png
Drone1	1770224991453	160.712	155.045	-10.5918	0.84298	-0.168269	-0.229553	-0.456482	img_Drone1__0_1770224992394894700.png
Drone1	1770224991504	161.185	154.185	-10.4097	0.851997	-0.11415	-0.258206	-0.440909	img_Drone1__0_1770224992446588200.png
Drone1	1770224991555	161.664	153.318	-10.2256	0.857541	-0.0596102	-0.285785	-0.423554	img_Drone1__0_1770224992497807500.png
Drone1	1770224991612	162.209	152.344	-10.0181	0.859599	-0.00443499	-0.312387	-0.404333	img_Drone1__0_1770224992547543600.png
Drone1	1770224991654	162.62	151.624	-9.86394	0.859259	0.0245618	-0.325847	-0.393566	img_Drone1__0_1770224992595973800.png
Drone1	1770224991705	163.131	150.748	-9.67582	0.858138	0.0502899	-0.337491	-0.383629	img_Drone1__0_1770224992646073000.png
Drone1	1770224991753	163.624	149.923	-9.49793	0.85694	0.0676986	-0.345208	-0.376699	img_Drone1__0_1770224992695322600.png
Drone1	1770224991804	164.164	149.047	-9.30727	0.858716	0.0842348	-0.343771	-0.370584	img_Drone1__0_1770224992745061700.png
Drone1	1770224991870	164.88	147.917	-9.05542	0.883144	0.130681	-0.275931	-0.356147	img_Drone1__0_1770224992810414800.png
Drone1	1770224991921	165.455	147.05	-8.86833	0.897295	0.164062	-0.223033	-0.343805	img_Drone1__0_1770224992861847900.png
Drone1	1770224991969	166.005	146.243	-8.69369	0.90944	0.181622	-0.167724	-0.334366	img_Drone1__0_1770224992909414900.png
Drone1	1770224992017	166.563	145.445	-8.52062	0.914844	0.215249	-0.117923	-0.320658	img_Drone1__0_1770224992957272400.png
Drone1	1770224992065	167.125	144.659	-8.34676	0.917828	0.243719	-0.0661184	-0.306302	img_Drone1__0_1770224993006640200.png
Drone1	1770224992110	167.66	143.942	-8.20031	0.920097	0.260538	-0.014404	-0.29212	img_Drone1__0_1770224993052631300.png
Drone1	1770224992170	168.378	143.021	-8.03209	0.934524	0.216202	0.0738026	-0.272899	img_Drone1__0_1770224993110880100.png
Drone1	1770224992215	168.913	142.358	-7.9319	0.941819	0.172948	0.128206	-0.258128	img_Drone1__0_1770224993155978600.png
Drone1	1770224992275	169.611	141.507	-7.83843	0.945653	0.121123	0.181809	-0.240862	img_Drone1__0_1770224993215802200.png
Drone1	1770224992317	170.084	140.93	-7.79626	0.943102	0.1177	0.202656	-0.235874	img_Drone1__0_1770224993259083600.png
Drone1	1770224992371	170.67	140.21	-7.76896	0.940009	0.117487	0.220985	-0.231833	img_Drone1__0_1770224993313109800.png
Drone1	1770224992428	171.26	139.474	-7.77019	0.937998	0.113904	0.235046	-0.227901	img_Drone1__0_1770224993370692400.png
Drone1	1770224992476	171.734	138.874	-7.79371	0.937164	0.108281	0.244125	-0.224505	img_Drone1__0_1770224993417441400.png
Drone1	1770224992524	172.185	138.291	-7.83644	0.936125	0.1077	0.249828	-0.222836	img_Drone1__0_1770224993464346100.png
Drone1	1770224992566	172.562	137.794	-7.88847	0.935117	0.110165	0.252827	-0.222481	img_Drone1__0_1770224993509162500.png
Drone1	1770224992623	173.048	137.141	-7.97922	0.934561	0.10891	0.256625	-0.221085	img_Drone1__0_1770224993563448400.png
Drone1	1770224992665	173.386	136.673	-8.05981	0.934474	0.106469	0.259045	-0.219813	img_Drone1__0_1770224993608112900.png
Drone1	1770224992725	173.843	136.025	-8.19342	0.934176	0.105845	0.261072	-0.218984	img_Drone1__0_1770224993665793700.png
Drone1	1770224992782	174.248	135.431	-8.33893	0.93397	0.105621	0.262334	-0.218463	img_Drone1__0_1770224993723296600.png
Drone1	1770224992824	174.528	135.007	-8.45691	0.933796	0.106101	0.262862	-0.218336	img_Drone1__0_1770224993764861300.png
Drone1	1770224992878	174.867	134.476	-8.62121	0.933786	0.105236	0.263666	-0.217829	img_Drone1__0_1770224993819780400.png
Drone1	1770224992932	175.182	133.963	-8.79893	0.933813	0.104354	0.264292	-0.217377	img_Drone1__0_1770224993873533100.png
